Year,Dependency Ratio
1960,81.34451225
1961,84.5085149
1962,87.64589482
1963,90.58186845
1964,93.03381461
1965,94.85088913
1966,96.30439469
1967,97.16484332
1968,97.45250062
1969,97.26641458
1970,96.7067182
1971,95.97016079
1972,94.91704837
1973,93.62764365
1974,92.16452399
1975,90.5770651
1976,89.86333464
1977,88.93187616
1978,87.87430262
1979,86.81131077
1980,85.80670571
1981,84.53411327
1982,83.40182108
1983,82.35622075
1984,81.30635795
1985,80.22190684
1986,79.34067463
1987,78.36770767
1988,77.35316887
1989,76.37028162
1990,75.44339228
1991,74.65264444
1992,73.86396407
1993,73.01303039
1994,71.96501134
1995,70.63526405
1996,69.29864269
1997,67.51130209
1998,65.43466279
1999,63.31217493
2000,61.27229074
2001,58.75553317
2002,56.64735037
2003,54.7413982
2004,52.78098953
2005,50.70831017
2006,49.07509183
2007,47.3089516
2008,45.58395619
2009,44.14512425
2010,43.09664296
2011,42.45924843
2012,42.06494571
2013,41.92132986
2014,41.98686473
2015,42.22361265
2016,42.57537234
2017,43.12003183
2018,43.77660483
2019,44.44083458
